name,category,author,price,img_paths
The Happiness Trap Pocketbook,Medical,Russ Harris,7.98,dataset/Medical/0000220.jpg
Descartes' Error,Medical,Antonio Damasio,6.85,dataset/Medical/0000221.jpg
Free to Learn,Medical,Peter Gray,13.67,dataset/Medical/0000222.jpg
"Disarming the Narcissist, Second Edition",Medical,Wendy T. Behary,10.59,dataset/Medical/0000223.jpg
Maybe You Should Talk to Someone,Medical,Lori Gottlieb,17.14,dataset/Medical/0000224.jpg
"Overcoming Anxiety, 2nd Edition",Medical,Helen Kennerley,6.07,dataset/Medical/0000225.jpg
The Unexpected Joy of Being Sober,Medical,Catherine Gray,8.43,dataset/Medical/0000226.jpg
Overcoming Multiple Sclerosis Cookbook,Medical,Ingrid Adelsberger,16.1,dataset/Medical/0000227.jpg
The Polyvagal Theory in Therapy,Medical,Deborah A. Dana,26.74,dataset/Medical/0000228.jpg
The Psychobiotic Revolution,Medical,Scott C. Anderson,16.3,dataset/Medical/0000229.jpg
Just Eat It,Medical,Laura Thomas,12.62,dataset/Medical/0000230.jpg
The Dance of Anger,Medical,Harriet Lerner,9.46,dataset/Medical/0000231.jpg
The Physiology Coloring Book,Medical,Wynn Kapit,22.61,dataset/Medical/0000232.jpg
Period Repair Manual,Medical,Lara Briden,14.63,dataset/Medical/0000233.jpg
Grief Counselling and Grief Therapy,Medical,J. William Worden,37.03,dataset/Medical/0000234.jpg
The Original Reiki Handbook of Dr. Mikao Usui,Medical,Mikao Usui,11.79,dataset/Medical/0000235.jpg
The Sick Rose,Medical,Richard Barnett,21.08,dataset/Medical/0000236.jpg
The Sports Gene,Medical,David Epstein,12.61,dataset/Medical/0000237.jpg
The Web That Has No Weaver,Medical,Ted J. Kaptchuk,20.2,dataset/Medical/0000238.jpg
Breaking Negative Thinking Patterns,Medical,Gitta Jacob,20.29,dataset/Medical/0000239.jpg
The Feeling Good Handbook,Medical,David D. Burns,13.26,dataset/Medical/0000240.jpg
NeuroTribes,Medical,Steve Silberman,12.5,dataset/Medical/0000241.jpg
Listening to the Animals: Becoming The Supervet,Medical,Noel Fitzpatrick,7.44,dataset/Medical/0000242.jpg
"The Anxiety and Phobia Workbook, 6th Edition",Medical,Edmund J. Bourne,18.26,dataset/Medical/0000243.jpg
Maps of Narrative Practice,Medical,Michael White,31.61,dataset/Medical/0000244.jpg
Ivy and the Inky Butterfly,Medical,Johanna Basford,14.94,dataset/Medical/0000245.jpg
Stiff,Medical,Mary Roach,9.66,dataset/Medical/0000246.jpg
The Mindful Therapist,Medical,Daniel J. Siegel,26.19,dataset/Medical/0000247.jpg
Healing Stories for Challenging Behaviour,Medical,Susan Perrow,19.64,dataset/Medical/0000248.jpg
Clean,Medical,Alejandro Junger,10.02,dataset/Medical/0000249.jpg
Cognitive Behavioural Therapy For Dummies,Medical,Rhena Branch,16.56,dataset/Medical/0000250.jpg
The Diabetes Code,Medical,Dr. Jason Fung,14.73,dataset/Medical/0000251.jpg
It Starts with the Egg,Medical,Rebecca Fett,18.55,dataset/Medical/0000252.jpg
The Skincare Bible,Medical,Dr Anjali Mahto,14.63,dataset/Medical/0000253.jpg
"Psychoanalytic Diagnosis, Second Edition",Medical,Nancy McWilliams,44.17,dataset/Medical/0000254.jpg
"I'm Ok, You're Ok",Medical,Thomas A. Harris,9.18,dataset/Medical/0000255.jpg
Pain and Prejudice,Medical,Gabrielle Jackson,21.8,dataset/Medical/0000256.jpg
The Wisdom of Menopause,Medical,Christiane Northrup,19.43,dataset/Medical/0000257.jpg
The Emperor of All Maladies,Medical,Siddhartha Mukherjee,14.79,dataset/Medical/0000258.jpg
Period Power,Medical,Maisie Hill,13.77,dataset/Medical/0000259.jpg
French Women Don't Get Fat,Medical,Mireille Guiliano,10.23,dataset/Medical/0000260.jpg
The Pioppi Diet,Medical,Dr. Aseem Malhotra,8.09,dataset/Medical/0000261.jpg
Carbs & Cals Carb & Calorie Counter,Medical,Chris Cheyette,20.59,dataset/Medical/0000262.jpg
The Language of Kindness,Medical,Christie Watson,9.43,dataset/Medical/0000263.jpg
Seeing Voices,Medical,Oliver Sacks,5.44,dataset/Medical/0000264.jpg
Exploring Feelings,Medical,Tony Attwood,17.64,dataset/Medical/0000265.jpg
The Stress Solution,Medical,Dr Rangan Chatterjee,18.72,dataset/Medical/0000266.jpg
The Healing Code,Medical,Alexander Loyd,13.56,dataset/Medical/0000267.jpg
In Defense of Food,Medical,Michael Pollan,11.48,dataset/Medical/0000268.jpg
Bad Pharma,Medical,Ben Goldacre,11.59,dataset/Medical/0000269.jpg
"First Aid for the USMLE Step 1 2019, Twenty-ninth edition",Medical,Tao Le,43.19,dataset/Medical/0000270.jpg
The Vaccine-Friendly Plan,Medical,Thomas Paul,14.91,dataset/Medical/0000271.jpg
Bartram's Encyclopedia of Herbal Medicine,Medical,Thomas Bartram,14.09,dataset/Medical/0000272.jpg
Stop the Thyroid Madness,Medical,Janie A Bowthorpe,20.4,dataset/Medical/0000273.jpg
The Postnatal Depletion Cure,Medical,Dr Oscar Serrallach,11.56,dataset/Medical/0000274.jpg
Essential Reiki,Medical,Diane Stein,15.05,dataset/Medical/0000275.jpg
Existential Psychotherapy,Medical,Irvin D. Yalom,38.09,dataset/Medical/0000276.jpg
An Introduction to Cognitive Behaviour Therapy,Medical,Helen Kennerley,36.0,dataset/Medical/0000277.jpg
Secret of Childhood,Medical,Maria Montessori,7.29,dataset/Medical/0000278.jpg
The Doctor's Kitchen: Supercharge your health with 100 delicious everyday recipes,Medical,Rupy Aujla,17.92,dataset/Medical/0000279.jpg
The Thriving Adolescent,Medical,Louise Hayes,29.16,dataset/Medical/0000280.jpg
What to Do When Bad Habits Take Hold,Medical,Dawn Huebner,14.1,dataset/Medical/0000281.jpg
Birthing from within,Medical,Pam England,18.76,dataset/Medical/0000282.jpg
Miracle Ball Method,Medical,Elaine Petrone,15.97,dataset/Medical/0000283.jpg
Wreck This Journal (Red),Medical,Keri Smith,11.96,dataset/Medical/0000284.jpg
